Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,7.99,8.08,7.81,7.95,42963800,7.95
2015-10-15,8.00,8.07,7.67,8.00,61444100,8.00
2015-10-14,8.07,8.23,7.89,7.96,75339100,7.96
2015-10-13,8.36,8.47,8.07,8.13,56100600,8.13
2015-10-12,8.80,8.80,8.80,8.80,000,8.80
2015-10-09,9.02,9.07,8.58,8.80,71885200,8.80
2015-10-08,8.46,8.84,8.28,8.75,68670000,8.75
2015-10-07,8.51,8.90,8.27,8.47,116610600,8.47
2015-10-06,7.86,8.34,7.84,8.19,81259300,8.19
2015-10-05,7.90,8.14,7.75,7.82,68350300,7.82
2015-10-02,6.99,7.83,6.90,7.77,88891400,7.77
2015-10-01,7.31,7.46,6.99,7.02,69296500,7.02
2015-09-30,7.25,7.26,6.97,7.24,107779500,7.24
2015-09-29,6.54,6.79,6.50,6.59,52387600,6.59
2015-09-28,6.74,6.75,6.44,6.44,37466900,6.44
2015-09-25,7.12,7.22,6.77,6.82,44843100,6.82
2015-09-24,6.61,7.14,6.60,6.96,56577300,6.96
2015-09-23,6.96,7.16,6.70,6.82,64774800,6.82
2015-09-22,7.24,7.24,6.81,6.97,66720700,6.97
2015-09-21,7.66,7.68,7.30,7.30,41063600,7.30
2015-09-18,7.75,7.76,7.50,7.60,68097000,7.60
2015-09-17,8.05,8.11,7.86,7.86,72887600,7.86
2015-09-16,7.77,8.24,7.74,8.14,66613400,8.14
2015-09-15,7.65,7.87,7.54,7.65,35102900,7.65
2015-09-14,7.70,7.82,7.46,7.72,52851400,7.72
2015-09-11,7.94,7.99,7.59,7.66,53647300,7.66
2015-09-10,7.90,8.15,7.81,7.97,62858700,7.97
2015-09-09,8.81,8.90,8.36,8.39,38706300,8.39
2015-09-08,8.70,8.79,8.58,8.64,29383000,8.64
2015-09-07,8.51,8.51,8.51,8.51,000,8.51
2015-09-04,8.60,8.76,8.51,8.51,35463400,8.51
2015-09-03,8.93,9.21,8.54,8.76,56645400,8.76
2015-09-02,8.75,8.84,8.33,8.82,56050600,8.82
2015-09-01,8.75,9.09,8.54,8.59,52756400,8.59
2015-08-31,8.71,9.29,8.52,9.19,76576400,9.19
2015-08-28,8.67,9.39,8.61,9.00,72971300,9.00
2015-08-27,8.25,8.89,8.23,8.89,65944100,8.89
2015-08-26,8.07,8.13,7.85,8.11,43884700,8.11
2015-08-25,8.10,8.23,7.88,7.90,57879500,7.90
2015-08-24,7.76,8.17,7.53,7.76,70703800,7.76
2015-08-21,8.60,8.64,8.30,8.30,39261100,8.30
2015-08-20,8.64,8.96,8.56,8.73,38200100,8.73
2015-08-19,8.95,9.05,8.63,8.79,36157100,8.79
2015-08-18,9.06,9.20,8.82,9.00,37491800,9.00
2015-08-17,9.20,9.36,9.12,9.12,32725700,9.12
2015-08-14,9.61,9.68,9.30,9.30,28018600,9.30
2015-08-13,9.91,9.97,9.51,9.51,30917800,9.51
2015-08-12,9.80,10.01,9.67,9.88,39146400,9.88
2015-08-11,9.79,9.86,9.47,9.83,43935700,9.83
2015-08-10,9.81,10.03,9.57,9.95,49877900,9.95
2015-08-07,10.25,10.55,9.69,9.69,64657900,9.69
2015-08-06,9.86,10.39,9.74,10.32,59527400,10.32
